block_id,street,barrio,tipo_c,traffic,n_lines_on,n_lines_walk,buses_hour_on,buses_hour_walk,score_n_lines_walk,score_buses_hour_walk
10910,SUIPACHA,San Nicolas,CALLE,0.25,0,30,0.0,950.7,75.0,75.0
10930,"PELLEGRINI, CARLOS",San Nicolas,CALLE,0.25,0,29,0.0,858.5,75.0,75.0
10996,"PERON, JUAN DOMINGO, TTE. GENERAL",Balvanera,CALLE,0.25,0,28,0.0,865.0,75.0,75.0
11002,CASTELLI,Balvanera,CALLE,0.25,0,28,0.0,870.3,75.0,75.0
11054,"PERON, JUAN DOMINGO, TTE. GENERAL",Balvanera,CALLE,0.25,1,30,28.3,939.6,75.0,75.0
11307,CASTELLI,Balvanera,CALLE,0.25,0,28,0.0,933.3,75.0,75.0
11635,CASTELLI,Balvanera,CALLE,0.25,0,29,0.0,959.6,75.0,75.0
11649,"ALSINA, ADOLFO",Monserrat,CALLE,0.25,0,29,0.0,794.6,75.0,69.9
11955,MISIONES,Balvanera,CALLE,0.25,0,29,0.0,889.8,75.0,75.0
11977,MORENO,Monserrat,CALLE,0.25,1,28,0.0,743.8,75.0,63.8
11978,BALCARCE,Monserrat,CALLE,0.25,1,29,0.0,794.6,75.0,69.9
12006,MORENO,Monserrat,CALLE,0.25,0,28,0.0,732.4,75.0,62.4
12316,BALCARCE,Monserrat,CALLE,0.25,0,28,0.0,746.9,75.0,64.2
15233,BERTRES,Caballito,PASAJE,0.0,0,21,0.0,520.8,75.0,62.2
15494,COCHABAMBA,Constitucion,CALLE,0.25,0,28,0.0,909.1,75.0,75.0
15532,COCHABAMBA,Constitucion,CALLE,0.25,0,29,0.0,972.8,75.0,75.0
16117,PAVON,Constitucion,CALLE,0.25,1,29,12.8,976.3,75.0,75.0
16320,TACUARI,Constitucion,CALLE,0.25,0,33,0.0,1105.1,75.0,75.0
16842,BRASIL,Constitucion,CALLE,0.25,0,28,0.0,727.9,75.0,61.9
16941,O'BRIEN,Constitucion,CALLE,0.25,0,33,0.0,1159.9,75.0,75.0
16957,O'BRIEN,Constitucion,CALLE,0.25,1,32,10.9,1159.1,75.0,75.0
17159,"ECHAGUE, PEDRO",Constitucion,CALLE,0.25,1,29,3.9,918.6,75.0,75.0
17180,"ECHAGUE, PEDRO",Constitucion,CALLE,0.25,0,28,0.0,878.4,75.0,75.0
17181,SAN JOSE,Constitucion,CALLE,0.25,0,28,0.0,817.8,75.0,72.6
17432,VIEYRA,Constitucion,PASAJE,0.0,0,21,0.0,721.3,75.0,86.1
27486,LETONIA,Retiro,CALLE,0.25,0,28,0.0,940.5,75.0,75.0
28013,"ALSINA, ADOLFO",Monserrat,CALLE,0.25,0,28,0.0,709.0,75.0,59.6
28056,SAN MARTIN,Retiro,CALLE,0.25,0,29,0.0,952.7,75.0,75.0
28079,SAN MARTIN,Retiro,CALLE,0.25,0,28,0.0,553.5,75.0,41.1
28208,DE LOS INMIGRANTES AV.,Retiro,CALLE,0.25,0,28,0.0,812.9,75.0,72.1
28593,BEADE,Caballito,CALLE PEATONAL,0.0,0,21,0.0,357.4,75.0,42.7
29863,SAN MARTIN,Retiro,CALLE,0.25,0,29,0.0,952.7,75.0,75.0
30051,CIUDADELA,Constitucion,CALLE,0.25,0,36,0.0,1417.8,75.0,75.0
30400,"BUTTY, ENRIQUE, ING.",Retiro,CALLE,0.25,0,30,0.0,763.5,75.0,66.2
30401,"BUTTY, ENRIQUE, ING.",Retiro,CALLE,0.25,0,31,0.0,823.4,75.0,73.3
