block_id,street,barrio,tipo_c,red_jerarq,n_lines_on,lines_on,n_lines_walk,lines_walk,buses_hour_walk,buses_hour_on,n_stops_walk
29053,SAN MARTIN AV.,Paternal,PUENTE,VÍA DISTRIBUIDORA PRINCIPAL,5,057 105 113 133 146,11,024 047 057 063 078 105 109 113 133 135 146,301.6,99.4,6
29054,LARRAYA,Villa Lugano,CALLE,VÍA LOCAL,0,,5,047 101 114 143 150,93.9,0.0,1
29055,3 DE FEBRERO,Nuñez,CALLE,VÍA LOCAL,0,,0,,0.0,0.0,0
29056,DEL LIBERTADOR AV.,Palermo,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,2,010 130,5,010 034 037 067 130,165.8,37.1,2
29057,IRAOLA AV.,Palermo,AVENIDA,VÍA LOCAL,0,,4,010 037 067 130,119.1,0.0,1
29058,DEL LIBERTADOR AV.,Palermo,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,3,037 067 130,4,010 037 067 130,149.1,43.8,1
29059,DEL LIBERTADOR AV.,Palermo,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,1,130,5,010 034 037 067 130,165.8,12.0,4
29060,SARMIENTO AV.,Palermo,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,2,037 067,5,010 037 057 067 130,161.1,23.8,4
29061,SARMIENTO AV.,Palermo,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,0,,4,010 037 067 130,149.1,0.0,0
29062,SARMIENTO AV.,Palermo,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,5,010 037 057 067 145,5,010 037 057 067 130,161.1,41.1,5
29063,DEL LIBERTADOR AV.,Palermo,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,0,,4,010 037 067 130,119.1,0.0,1
29064,BAIGORRIA,Villa Del Parque,CALLE,VÍA LOCAL,0,,6,047 057 078 105 113 146,150.4,0.0,2
29065,BAIGORRIA,Villa Del Parque,CALLE,VÍA LOCAL,0,,6,047 057 078 105 113 146,150.4,0.0,2
29066,NOGOYA,Villa Del Parque,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,1,047,6,047 057 078 105 113 146,150.4,21.8,2
29067,SAN MARTIN AV.,,AVENIDA,VÍA LOCAL,5,047 057 078 105 146,6,047 057 078 105 113 146,150.4,136.7,2
29069,SAN MARTIN AV.,Agronomia,AVENIDA,VÍA LOCAL,0,,6,047 057 078 105 113 146,150.4,0.0,1
29070,ZAMUDIO,Agronomia,CALLE,VÍA LOCAL,1,047,6,047 057 078 105 113 146,150.4,10.9,1
29085,"FIGUEROA ALCORTA, PRES. AV.",Belgrano,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,2,042 107,2,042 107,32.9,22.3,2
29086,"LUGONES, LEOPOLDO AV.",Palermo,AVENIDA,VÍA TRONCAL,2,057 160,1,037,6.4,12.3,0
29087,SARMIENTO AV.,Palermo,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,3,037 057 160,2,037 160,16.5,16.1,3
29088,"OBLIGADO RAFAEL, AV.COSTANERA",Recoleta,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,3,033 045 194,2,033 045,48.8,50.3,3
29089,"OBLIGADO RAFAEL, AV.COSTANERA",Recoleta,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,3,033 045 194,3,033 037 045,55.2,49.5,2
29090,"SALGUERO, JERONIMO",,CALLE,VÍA DISTRIBUIDORA PRINCIPAL,0,,3,033 037 045,55.2,0.0,1
29091,"SALGUERO, JERONIMO",,CALLE,VÍA DISTRIBUIDORA PRINCIPAL,0,,2,033 045,48.8,0.0,0
29092,AUTOPISTA ARTURO ILLIA,Retiro,AUTOPISTA,VÍA TRONCAL,2,059 152,0,,0.0,3.8,0
29093,AUTOPISTA ARTURO ILLIA,Retiro,AUTOPISTA,VÍA TRONCAL,2,059 152,12,061 062 067 070 075 092 093 100 101 129 130 152,312.5,8.0,0
29094,"SALGUERO, JERONIMO",Recoleta,CALLE,VÍA LOCAL,0,,2,033 045,48.8,0.0,2
29095,"SALGUERO, JERONIMO",Recoleta,CALLE,VÍA LOCAL,0,,2,033 045,48.8,0.0,1
29096,"LUGONES, LEOPOLDO AV.",Palermo,AVENIDA,VÍA TRONCAL,1,057,2,037 160,16.5,6.0,2
29097,"SALGUERO, JERONIMO",Recoleta,CALLE,VÍA LOCAL,0,,2,033 045,48.8,0.0,0
29098,"SALGUERO, JERONIMO",Recoleta,CALLE,VÍA LOCAL,0,,2,033 045,48.8,0.0,0
29099,"SALGUERO, JERONIMO",Recoleta,CALLE,VÍA LOCAL,0,,2,033 045,48.8,0.0,0
29100,AUTOPISTA ARTURO ILLIA,,SUBIDA AUTOPISTA,VÍA TRONCAL,0,,0,,0.0,0.0,0
29101,AUTOPISTA ARTURO ILLIA,Palermo,AUTOPISTA,VÍA TRONCAL,2,059 152,0,,0.0,8.0,0
29102,AUTOPISTA ARTURO ILLIA,,AUTOPISTA,VÍA TRONCAL,2,059 152,0,,0.0,8.0,0
29103,AUTOPISTA ARTURO ILLIA,,BAJADA AUTOPISTA,VÍA TRONCAL,0,,2,033 045,48.8,0.0,1
29104,AUTOPISTA 25 DE MAYO,Constitucion,AUTOPISTA,VÍA TRONCAL,1,129,0,,0.0,5.3,0
29105,BALCARCE,San Telmo,CALLE,VÍA LOCAL,0,,20,004 008 022 024 028 029 033 053 061 062 064 074 086 093 129 130 143 152 159 195,638.5,0.0,0
29106,RIO CUARTO,Barracas,CALLE,VÍA LOCAL,1,133,19,010 012 017 020 022 024 033 051 070 074 093 095 098 100 129 133 134 148 154,605.8,6.3,4
29107,AUTOPISTA 25 DE MAYO,Constitucion,SUBIDA AUTOPISTA,VÍA TRONCAL,2,126 195,15,009 010 017 039 045 053 059 060 070 091 096 098 100 126 129,616.9,0.2,2
29108,AUTOPISTA 25 DE MAYO,Constitucion,SUBIDA AUTOPISTA,VÍA TRONCAL,2,126 195,0,,0.0,0.2,0
29109,AUTOPISTA 25 DE MAYO,Constitucion,SUBIDA AUTOPISTA,VÍA TRONCAL,2,126 195,15,009 010 017 039 045 053 059 060 070 091 096 098 100 126 129,616.9,2.6,0
29110,AUTOPISTA 25 DE MAYO,Constitucion,ENLACE AUTOPISTA,VÍA TRONCAL,1,129,0,,0.0,2.7,0
29111,AUTOPISTA 25 DE MAYO,Constitucion,BAJADA AUTOPISTA,VÍA TRONCAL,0,,15,009 010 017 039 045 053 059 060 070 091 096 098 100 126 129,616.9,0.0,2
29112,AUTOPISTA 25 DE MAYO,Constitucion,ENLACE AUTOPISTA,VÍA TRONCAL,0,,0,,0.0,0.0,0
29113,AUTOPISTA 25 DE MAYO,Constitucion,ENLACE AUTOPISTA,VÍA TRONCAL,4,046 053 091 126,0,,0.0,10.7,0
29114,AUTOPISTA 25 DE MAYO,Constitucion,ENLACE AUTOPISTA,VÍA TRONCAL,3,046 053 091,0,,0.0,8.7,0
29115,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Constitucion,ENLACE AUTOPISTA,VÍA TRONCAL,0,,0,,0.0,0.0,0
29116,AUTOPISTA 25 DE MAYO,Constitucion,BAJADA AUTOPISTA,VÍA TRONCAL,3,046 053 091,37,004 009 010 012 017 028 039 045 046 051 053 059 060 061 062 065 067 070 079 084 090 091 095 096 097 098 100 102 129 133 134 143 148 151 154 168 195,1312.9,8.7,15
29117,AUTOPISTA 25 DE MAYO,Constitucion,BAJADA AUTOPISTA,VÍA TRONCAL,1,126,12,010 017 039 053 059 060 091 096 098 126 129 195,499.0,2.0,0
29118,AUTOPISTA 25 DE MAYO,Constitucion,BAJADA AUTOPISTA,VÍA TRONCAL,0,,14,002 009 010 017 039 045 059 060 070 091 096 098 100 126,526.6,0.0,0
29119,9 DE JULIO AV.,Constitucion,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,0,,14,002 009 010 017 039 045 059 060 070 091 096 098 100 126,526.6,0.0,0
29120,AUTOPISTA 25 DE MAYO,Constitucion,SUBIDA AUTOPISTA,VÍA TRONCAL,0,,11,010 017 039 053 059 060 096 098 126 129 195,480.1,0.0,0
29121,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Constitucion,ENLACE AUTOPISTA,VÍA TRONCAL,0,,1,059,61.8,0.0,1
29122,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Constitucion,ENLACE AUTOPISTA,VÍA TRONCAL,0,,0,,0.0,0.0,0
29123,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Constitucion,ENLACE AUTOPISTA,VÍA TRONCAL,3,046 053 091,0,,0.0,6.3,0
29125,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,AUTOPISTA,VÍA TRONCAL,0,,0,,0.0,0.0,0
29126,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,AUTOPISTA,VÍA TRONCAL,2,045 195,0,,0.0,3.3,0
29127,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,BAJADA AUTOPISTA,VÍA TRONCAL,0,,4,051 100 129 148,159.9,0.0,3
29128,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Barracas,AUTOPISTA,VÍA TRONCAL,2,045 195,0,,0.0,3.3,0
