block_id,street,barrio,tipo_c,red_jerarq,length_m,n_shapes,buses_hour,buses_hour_n,buses_hour_d,lines_gtfs,lines,n_lines
3413,LA PAMPA,Belgrano,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,119.0,2,14.1,5.3,8.6,113,113,1
3414,"MARTINEZ, ENRIQUE, GRAL.",Belgrano,CALLE,VÍA LOCAL,120.2,0,0,0,0,,,0
3415,OLAZABAL AV.,Villa Urquiza,AVENIDA,VÍA DISTRIBUIDORA PRINCIPAL,116.1,6,18.8,10.0,17.5,114 133,114 133,2
3416,"ACHA, MARIANO, GRAL.",Villa Urquiza,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,128.7,3,16.8,8.0,8.4,093,093,1
3417,NAHUEL HUAPI,Villa Urquiza,CALLE,VÍA LOCAL,73.1,0,0,0,0,,,0
3418,TRIUNVIRATO AV.,Villa Urquiza,AVENIDA,VÍA LOCAL,102.6,0,0,0,0,,,0
3419,JURAMENTO,Villa Urquiza,CALLE,VÍA LOCAL,104.0,0,0,0,0,,,0
3420,PLAZA,Villa Urquiza,CALLE,VÍA LOCAL,121.5,0,0,0,0,,,0
3421,"PINO, VIRREY DEL",Belgrano,CALLE,VÍA LOCAL,117.1,1,15.0,4.0,6.0,019,019,1
3422,SUPERI,Belgrano,CALLE,VÍA DISTRIBUIDORA COMPLEMENTARIA,157.3,1,15.0,6.0,6.0,019,019,1
3423,"ARGUIBEL, ANDRES",Palermo,CALLE,VÍA LOCAL,36.3,0,0,0,0,,,0
3424,ARCE,Palermo,CALLE,VÍA LOCAL,117.2,0,0,0,0,,,0
3425,QUESADA,Villa Urquiza,CALLE,VÍA LOCAL,120.7,0,0,0,0,,,0
3426,BURELA,Villa Urquiza,CALLE,VÍA LOCAL,145.9,0,0,0,0,,,0
3427,MARTIRES PALOTINOS,Villa Urquiza,CALLE,VÍA LOCAL,104.6,0,0,0,0,,,0
3428,TRONADOR,Villa Urquiza,CALLE,VÍA LOCAL,78.4,0,0,0,0,,,0
3429,"LE BRETON, TOMAS A.",Villa Urquiza,CALLE,VÍA LOCAL,121.7,0,0,0,0,,,0
