l_r_s,linea,coverage,gtfs_shape_id
176GVUELTA,176,0.9863,18101
176GIDA,176,1.0000,18100
176FVUELTA,176,0.9889,18091
176FIDA,176,1.0000,18090
176EVUELTA,176,0.9889,18081
176EIDA,176,1.0000,18080
176DIDA,176,1.0000,18180
176DVUELTA,176,0.9861,6541
172BVUELTA,172,0.9859,3891
172BIDA,172,0.9880,3890
172AIDA,172,1.0000,3880
172AVUELTA,172,0.9740,3881
169CVUELTA,169,0.3158,1481
117CIDA,117,1.0000,1921
169CIDA,169,0.3000,1481
169AIDA,169,0.8293,1480
169BVUELTA,169,0.9000,16371
166DIDA,166,1.0000,3830
169BIDA,169,0.8868,16370
166DVUELTA,166,1.0000,5371
169AVUELTA,169,0.8750,1481
166CIDA,166,0.6281,5370
166CVUELTA,166,0.4862,5371
118AIDA,118,0.7292,3630
168CIDA,168,0.9074,6490
160LIDA,160,1.0000,17500
168CVUELTA,168,0.9804,6491
160LVUELTA,160,1.0000,2691
168BIDA,168,0.9020,6470
118AVUELTA,118,0.7895,3631
168BVUELTA,168,0.9804,6481
118BIDA,118,0.9259,15970
168AVUELTA,168,0.9714,6471
168AIDA,168,0.9178,6470
118BVUELTA,118,0.9697,3631
166BIDA,166,0.9294,3830
118CVUELTA,118,0.5263,3631
166BVUELTA,166,0.9589,3831
118CIDA,118,0.4483,3630
166AIDA,166,0.9756,5370
166AVUELTA,166,0.9818,5371
123AIDA,123,0.9111,2460
164DIDA,164,,
123AVUELTA,123,0.8958,2461
164DVUELTA,164,,
124AVUELTA,124,0.9545,24721
164CVUELTA,164,,
164CIDA,164,,
164BVUELTA,164,,
124AIDA,124,0.8974,24720
164BIDA,164,,
128AIDA,128,1.0000,4660
164AIDA,164,,
164AVUELTA,164,,
163CVUELTA,163,0.9895,43551
163CIDA,163,1.0000,43550
163BIDA,163,1.0000,37100
128AVUELTA,128,0.9688,4661
163BVUELTA,163,1.0000,37101
129AVUELTA,129,1.0000,43641
163AIDA,163,1.0000,37090
129BIDA,129,1.0000,43650
163AVUELTA,163,0.9839,37091
129JVUELTA,129,1.0000,43731
161BVUELTA,161,0.9483,1471
129LVUELTA,129,0.9328,43751
129LIDA,129,1.0000,43750
161BIDA,161,0.9844,1470
129NIDA,129,0.8897,43790
161AVUELTA,161,0.9848,1461
161AIDA,161,0.9595,1460
160KVUELTA,160,1.0000,2631
160KIDA,160,0.9710,17450
160JVUELTA,160,0.9082,17481
160JIDA,160,0.9341,17480
160IVUELTA,160,1.0000,17471
160IIDA,160,1.0000,17470
160HIDA,160,0.9710,17450
160HVUELTA,160,1.0000,2631
160GIDA,160,0.9200,17440
134AVUELTA,134,0.9615,1451
160GVUELTA,160,0.9048,17481
160FIDA,160,1.0000,2640
160FVUELTA,160,0.9894,2681
160EIDA,160,1.0000,2670
160EVUELTA,160,0.9889,2631
159LVUELTA,159,0.9043,5821
159LIDA,159,0.9765,5820
159KVUELTA,159,0.8537,5781
159KIDA,159,0.9750,5780
159JIDA,159,0.9333,5810
159JVUELTA,159,0.8800,5811
159GIDA,159,0.7879,2620
159GVUELTA,159,0.8000,2611
159EVUELTA,159,0.9857,5751
159EIDA,159,0.9765,5750
159CIDA,159,0.8588,2620
159CVUELTA,159,0.7778,2621
159DVUELTA,159,0.8095,5741
159DIDA,159,0.7802,5740
159BIDA,159,0.9841,2610
159BVUELTA,159,1.0000,2611
153AIDA,153,0.9744,37130
153AVUELTA,153,0.9348,37131
117AIDA,117,0.9368,1920
117AVUELTA,117,0.9823,1921
117BIDA,117,0.8413,1940
135AIDA,135,0.9706,660
117BVUELTA,117,0.9167,1941
136AVUELTA,136,1.0000,37051
136AIDA,136,1.0000,37050
119AVUELTA,119,,
119AIDA,119,,
126AVUELTA,126,0.8846,3651
126AIDA,126,0.7966,3650
126BVUELTA,126,0.8596,3661
126BIDA,126,0.7612,3660
126CVUELTA,126,0.9176,37391
126CIDA,126,0.8101,37390
126DIDA,126,0.7816,37400
126DVUELTA,126,0.8667,37401
127AIDA,127,0.9677,1950
127AVUELTA,127,1.0000,1951
129CIDA,129,1.0000,43650
129CVUELTA,129,1.0000,43691
129GVUELTA,129,1.0000,43701
129GIDA,129,1.0000,43700
129HIDA,129,1.0000,43710
129HVUELTA,129,1.0000,43711
129KIDA,129,1.0000,43740
129KVUELTA,129,1.0000,43741
129NNVUELTA,129,0.8028,43781
129NNIDA,129,0.7612,43780
129PVUELTA,129,1.0000,43801
129PIDA,129,1.0000,43800
129RIDA,129,1.0000,43820
129RVUELTA,129,1.0000,43821
130AIDA,130,0.9206,1430
130AVUELTA,130,0.8438,1431
130BVUELTA,130,0.8641,1441
130BIDA,130,0.8830,1440
133BIDA,133,0.9677,62740
133BVUELTA,133,0.9730,62711
134AIDA,134,0.9474,1450
148EIDA,148,1.0000,4770
135AVUELTA,135,0.9512,661
148EVUELTA,148,1.0000,4771
136BIDA,136,1.0000,37050
136BVUELTA,136,1.0000,37061
136CVUELTA,136,1.0000,37071
136CIDA,136,0.9643,37070
136DVUELTA,136,1.0000,37081
136DIDA,136,1.0000,37050
136EIDA,136,0.9762,43590
136EVUELTA,136,0.9259,43591
140AVUELTA,140,0.8769,62671
140AIDA,140,0.8462,62670
148FIDA,148,1.0000,4790
143AIDA,143,0.9895,43910
143AVUELTA,143,0.9167,43911
143BVUELTA,143,0.9224,43921
143BIDA,143,0.9804,43920
143CVUELTA,143,0.9091,43931
143CIDA,143,0.9770,43930
143DVUELTA,143,0.8478,43941
143DIDA,143,0.9278,43940
143EIDA,143,0.9773,43950
143EVUELTA,143,0.9082,43951
143FIDA,143,0.9775,43960
143FVUELTA,143,0.9135,43961
143GVUELTA,143,0.9151,43971
143GIDA,143,0.9574,43970
145AVUELTA,145,,
145AIDA,145,,
145BIDA,145,,
145BVUELTA,145,,
145CIDA,145,,
145CVUELTA,145,,
148FVUELTA,148,1.0000,4791
146AIDA,146,0.9615,1170
146AVUELTA,146,0.9394,1171
148AVUELTA,148,0.9559,4741
148AIDA,148,1.0000,4740
148BIDA,148,0.9483,4750
148BVUELTA,148,0.8873,4751
148CVUELTA,148,0.9545,4761
148CIDA,148,1.0000,4760
148DIDA,148,0.8594,16700
148DVUELTA,148,0.8939,16701
148GVUELTA,148,1.0000,4781
148GIDA,148,1.0000,4780
148HVUELTA,148,1.0000,4801
148HIDA,148,1.0000,4800
148IVUELTA,148,1.0000,4811
148IIDA,148,1.0000,4810
148JIDA,148,0.9286,4820
148JVUELTA,148,0.9200,4821
150AIDA,150,0.9861,670
150AVUELTA,150,0.9661,731
150BVUELTA,150,0.9516,731
150BIDA,150,0.9867,730
152AIDA,152,1.0000,1180
152AVUELTA,152,0.9804,1181
152BIDA,152,1.0000,4640
152BVUELTA,152,0.9783,1181
152CVUELTA,152,0.9649,15631
152CIDA,152,0.9375,15630
